ID,Category,Page,Issue,Description,Fix,Priority,Roadmap ref,Status
AS-001,General,site-wide,Duplicate company schema,"Every page carries two separate Organization blocks in JSON-LD. The AIOSEO one says the company is ""E-commerce Management"" with 5 to 10 employees. The custom one says ProfessionalService, 30 employees, with address, phone and a service catalog. They use different IDs so search and AI engines see two conflicting companies.",Keep one Organization block (the custom one has the useful detail). Set one employee count and one description that matches the homepage meta description. Turn off the AIOSEO Organization output or make the custom block the only source.,P1,R15,
AS-002,General,site-wide,No sameAs links in schema,"The Organization schema does not link to any other profile (LinkedIn, Forbes author page, press). Engines cannot confirm that the LinkedIn page and the press releases that outrank the site are the same company.",Add sameAs to the single Organization block: LinkedIn company page URL and the Forbes Business Council author URL already linked from /newsroom/.,P1,R15,
AS-003,General,site-wide,No og:image on any page,"86 of 86 pages have no og:image tag. When a page is shared in chat, social or shown as an AI citation, no preview image is available.",Set a default social image in AIOSEO (Social Networks settings) and a specific image for the homepage and division pages.,P1,R17,
AS-004,General,site-wide,Company described three different ways,"Tagline says ""E-commerce Management"", schema slogan says ""Amazon. Expertise. Delivered."", homepage meta says ""full-service Amazon growth agency"". Engines trying to answer ""what is Albert Scott"" get three answers.","Pick one description and use it in the WordPress tagline, the schema description, the homepage meta description and the About page opening.",P1,G1,
AS-005,General,site-wide,Junk archive pages are indexable and in the sitemap,"7 category archives, 2 tag archives, 10 project_category archives and the /project/ archive are listed in the sitemap and return 200 with no noindex. Each holds 1 to 3 items. They dilute the index with near-empty pages.","In AIOSEO: set categories, tags and project_category to noindex and exclude them from the sitemap. Redirect /project/ to /listings-portfolio-gallery/.",P1,R4,
AS-006,General,site-wide,Author archives are indexable,"/blog/author/albertllc/ and /blog/author/hannah-kaufman/ return 200 and are indexable. The REST API also exposes two more accounts (7121525_u8r6t1, hashsalacop) with author URLs.",Set author archives to noindex in AIOSEO. Ask the site admin to confirm the two unfamiliar accounts are legitimate.,P1,R4,
AS-007,General,site-wide,/blog/ returns 404,"All 13 posts live under /blog/ but /blog/ itself is a 404. There is no blog index page, so once category archives are noindexed the posts lose their crawl path.","Create a blog index at /blog/ listing all articles, or 301 /blog/ to /newsroom/ and list the articles there.",P1,R19,
AS-008,General,site-wide,Dead URLs still indexed or linked,/marketing-management/ is a 404 but still appears for a site: search. /privacy-policy-2/ is a 404 linked from /test-modules/.,301 /marketing-management/ to the marketing division page. 301 /privacy-policy-2/ to /privacy-policy/.,P1,R5,
AS-009,General,site-wide,Redirect links in navigation blocks,"The homepage divisions section links /listing-division-2/, /marketing-division/ and /logistics-division-2/, which all 301. Four pages link /case-studies-2/, which 301s to /case-studies/. The homepage reaches its own service pages only through redirects.",Edit the homepage divisions block and the case study CTAs to point at the live URLs.,P1,R2,
AS-010,Homepage,/,Homepage stats not in the HTML,"The five metrics (30+ Marketplace Experts, 90+ Client Retention, 10+ Years, 100M+ Managed Revenue, 50+ Clients) are Divi number counters. The values live only in a data-number-value attribute and are written into the page by JavaScript after load. In the raw HTML that crawlers and answer engines read, the number text is empty.","Replace the counter modules with plain text modules that contain the number, or add the same figures as a sentence in the body copy (""30+ marketplace experts, 90%+ client retention..."") so they exist without JavaScript.",P1,new,
AS-011,General,site-wide,Image alt text missing site-wide,"1,504 of 1,601 images have alt="""". 63 pages have no alt on any image. Client logos, portfolio work, icons and the site logo are all unlabeled, so none of the portfolio work is visible to image search or screen readers.","Add alt text in the Media Library for every image, starting with the homepage, the four division pages, /dsp/, /case-studies/ and the portfolio gallery. Pattern: client logos ""[Brand] logo""; portfolio ""[Brand] Amazon A+ module designed by Albert Scott"".",P2,R10,
AS-012,General,site-wide,"32 test, legacy and duplicate pages are live","A third of the indexable site is old homepages, 2019-era service pages showing raw [vc_row] shortcode, test pages, form tests and duplicate thank-you and services pages. 33 pages have no internal links pointing to them at all.",Redirect or delete each page per the disposition list (rows below marked Triage).,P2,R1,
AS-013,General,site-wide,No FAQ schema anywhere,"No page has FAQPage schema even where FAQ text exists (/dsp/, /albert-scott-university/). Competitor service pages (SalesDuo, Darkroom, Amazon Growth Lab) carry FAQPage and Service schema.",Add FAQPage schema to existing FAQs via AIOSEO schema settings; add Service schema on each division page; add Article schema on case study pages.,P2,R16,
AS-014,General,site-wide,Em dashes in body copy,83 em dashes across 18 pages. House style rule: no em dashes.,"Replace with a comma, period or colon as each page is rewritten.",P3,R14,
AS-015,General,site-wide,WordPress and plugin versions exposed,"Meta generator tags reveal WordPress 7.1, AIOSEO Pro 5.0.1 and Site Kit 1.186.0.","Remove generator tags (a one-line function in the theme or a security plugin setting). Low SEO impact, hygiene only.",P3,new,
AS-016,General,site-wide,Cookie banner covers the mobile CTA area,On a 390px screen the cookie banner covers roughly the bottom fifth of the viewport until accepted.,Reduce banner height on mobile or move it to a compact top bar.,P3,new,
AS-017,Homepage,/,Title does not say what the page is,"Current title tag: ""Home - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""Full-Service Amazon Agency for Vendor and Seller Central Brands: Albert Scott"". Keep it under 65 characters where possible.",P1,R7,
AS-018,Homepage,/,Testimonials and names set as headings,"Customer quotes and attributions are rendered as H2, H3 and H4 tags (on the homepage the same three names appear as H4 nine times because the carousel clones them).",Use blockquote and paragraph tags for testimonials; keep headings for section titles.,P2,R9,
AS-019,Homepage,/,Images without alt text,236 of 236 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-020,Homepage,/,Links to redirecting or dead URLs,"Links target: /listing-division-2/, /logistics-division-2/, /case-studies-2/, /marketing-division/.",Point each link at the live URL.,P1,R2,
AS-021,Homepage,/,Competes with old copies of itself,"/home/ (old homepage, title ""Albert Scott - A Full Service Amazon Agency""), /amazon-management-agency/ (""FULL SERVICE AMAZON GROWTH AGENCY""), /for-amazon-brands/ and /for-amazon-brandsv2/ are all live and indexable with the same positioning.",Redirect /home/ to /. Rebuild /amazon-management-agency/ as a distinct account management page or redirect it. Noindex the ad landing pages.,P1,R1,
AS-022,Homepage,/,Four engagement models are not quotable,"The homepage explains Vendor Central, Seller Central, hybrid and distributor models across several sections. The one AI answer that named Albert Scott quoted a third-party summary of this, not the site.",Write the four models as one short paragraph near the top of the page and repeat it on /retail-division/. Add it to the About page.,P2,G2,
AS-023,About page,/about-us/,Title does not say what the page is,"Current title tag: ""About Us - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""About Albert Scott, Amazon Agency in Inwood, New York"". Keep it under 65 characters where possible.",P1,R7,
AS-024,About page,/about-us/,No H1,"The page has no H1 heading, so the main topic is not declared to crawlers.","Set the page headline as an H1 (About: ""About Albert Scott""; Contact: ""Contact Albert Scott""; Gallery: ""Amazon Listing and A+ Content Portfolio"").",P2,R9,
AS-025,About page,/about-us/,Images without alt text,93 of 93 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-026,About page,/about-us/,Body copy links to almost nothing,"2 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-027,About page,/about-us/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-028,About page,/about-us/,Horizontal scroll on mobile,"Rendered at 390px the page is wider than the screen, so it scrolls sideways.","Find the element wider than the viewport (usually a fixed-width image, table or gallery row) and set max-width 100%.",P2,R6,
AS-029,About page,/about-us/,Horizontal scroll on desktop,Rendered at 1440px the page is wider than the viewport.,Same fix as mobile: constrain the overflowing element.,P2,R6,
AS-030,Listing division page,/listing-division/,Heading before the H1,"""Albert Scott Divisions"" is an H3 placed above the H1 ""Listing Division"". Eyebrow labels styled as headings break the document outline.",Change the eyebrow label to a paragraph with a CSS class; keep the H1 first.,P2,R9,
AS-031,Listing division page,/listing-division/,Service page is short,"About 451 words. The DSP page (1,396 words) shows the depth the division pages need.","Expand to at least 900 words: definition, what is included, how it connects to the other divisions, results, FAQ.",P2,R11,
AS-032,Listing division page,/listing-division/,Images without alt text,19 of 21 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-033,Listing division page,/listing-division/,Body copy links to almost nothing,"2 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-034,Listing division page,/listing-division/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-035,Marketing division page,/marketing-devision/,Title does not say what the page is,"Current title tag: ""Marketing Devision - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""Amazon Advertising Agency: Sponsored Ads and DSP Managed by Albert Scott"". Keep it under 65 characters where possible.",P1,R7,
AS-036,Marketing division page,/marketing-devision/,"Slug, title and breadcrumb misspell ""Division"" as ""Devision""","The URL is /marketing-devision/, the title is ""Marketing Devision - Albert Scott"" and the AIOSEO breadcrumb schema names the page ""Marketing Devision"". The correctly spelled /marketing-division/ exists only as a redirect to the misspelled page.","Rename the slug to /marketing-division/, let WordPress 301 the old slug, and remove the existing reverse redirect. Fix the SEO title and breadcrumb title at the same time.",P1,R3,
AS-037,Marketing division page,/marketing-devision/,No meta description,"The page has no meta description, so search results and answer engines pick their own snippet from the page.","Write a 120 to 155 character description in AIOSEO stating what the page offers and for whom, using claims already on the page.",P1,R8,
AS-038,Marketing division page,/marketing-devision/,Heading before the H1,"""Albert Scott Divisions"" is an H3 placed above the H1 ""Marketing Division"". Eyebrow labels styled as headings break the document outline.",Change the eyebrow label to a paragraph with a CSS class; keep the H1 first.,P2,R9,
AS-039,Marketing division page,/marketing-devision/,H1 carries no descriptive term,"H1 is ""Marketing Division"". A slogan or a label, not a statement of the service.","Rewrite the H1 to name the service and the audience, for example ""Full-Service Amazon Agency for Vendor and Seller Central Brands"", keeping the slogan as a subheading.",P2,R9,
AS-040,Marketing division page,/marketing-devision/,Testimonials and names set as headings,"Customer quotes and attributions are rendered as H2, H3 and H4 tags (on the homepage the same three names appear as H4 nine times because the carousel clones them).",Use blockquote and paragraph tags for testimonials; keep headings for section titles.,P2,R9,
AS-041,Marketing division page,/marketing-devision/,Images without alt text,42 of 44 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-042,Marketing division page,/marketing-devision/,Links to redirecting or dead URLs,Links target: /case-studies-2/.,Point each link at the live URL.,P1,R2,
AS-043,Marketing division page,/marketing-devision/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
