priority,show,exhibitor,amazon_presence_summary,smartscout_brand,monthly_revenue_usd,total_products,avg_rating,total_reviews,primary_subcategory,amazon_url,search_term,org_type_flag,smartscout_checked,match_confidence,other_candidates,google_amazon_presence,google_note,amazon_direct_search,amazon_direct_search_note,amazon_brand_name,amazon_store_url,amazon_sold_by,amazon_verified,SS_Brand_Match,SS_Match_Confidence,SS_Category,SS_Subcategory,SS_Monthly_Revenue,SS_TTM_Revenue,SS_Total_Products,SS_Total_Reviews,SS_Avg_Rating,SS_Avg_Price,SS_Avg_Sellers,SS_Single_Seller_Name,SS_Amazon_1P_Pct,SS_MoM_Growth,SS_12M_MoM_Growth,SS_Has_Storefront,SS_Storefront_URL,SS_Top_Products,SS_Seller_Coverage,SS_Seller_Count,SS_Seller_Type,SS_Reseller_Share_Pct,Angle,Angle_Data_Points,Subject,Email,QA_Flags,Processed_At
1 - Confirmed on Amazon,FNCE 2025,Life Extension,YES on Amazon (SmartScout),Life Extension,15056755.95,631.0,4.5,467763.0,Magnesium Mineral Supplements,,Life Extension,,Yes,exact,Life ExtensionAurola (unrelated),,,Not needed,,,,,SmartScout,Life Extension,exact,Health & Household,Magnesium Mineral Supplements,14988387.83,193566295.33,630,467862,4.5,31.23,1.7,Amazon.com,81.6,0.027,0.2,False,,"Life Extension Neuro-Mag Magnesium L-Threonate, 90 Vegetarian Capsules | B006P536E6 | $2,016,213; Life Extension NAD+ Cell Regenerator and Resveratrol Elite, 30 Capsules | B08PMJFLP8 | $724,548; Life Extension Magnesium Glycinate, 90 Capsules | B0DMTV24LR | $370,728; Life Extension Super K, Vitamin K1 and K2, 90 Softgels | B07RL1J9BV | $364,111; Life Extension Ultra Prostate Formula with Saw Palmetto, 60 Softgels | B076S1MKDY | $345,710",Amazon.com: 81.6%; Life Extension Buyers Club: 8.9%; Peak10 Health LLC: 8.5%; RS E.commerce LLC: 0.3%; DealsonAmzon: 0.3%,10,Amazon 1P,9.5,"Large brand: Amazon 1P ~82%, third-party reseller Peak10 Health ~8.5% (~$1.3M/mo); narrow reseller angle",Amazon 1P 81.6%; Peak10 Health 8.5% share = ~$1.28M/mo; monthly rev ~$15.0M,Life Extension reseller share on Amazon,"Hi {{first_name}},

Saw that Life Extension exhibited at FNCE last year.

From what we can see, Amazon itself sells about 80% of your volume on the marketplace, and one third-party seller, Peak10 Health, is moving roughly $1.3M a month of your products on its own. That is a lot of pricing and content sitting outside your direct control.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations, and we work in 1P, 3P or hybrid setups.

Open to a 20 minute look at the reseller side specifically?

Yoni
","very large brand (>$5M/mo), narrow ask used",2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,"Orgain, LLC",YES on Amazon (SmartScout),Orgain,14551655.23,212.0,4.37,280964.0,Sports Nutrition Protein Powder Blends,,Orgain,,Yes,exact,OrgainOrganic Nutritional Shake (0),,,Not needed,,,,,SmartScout,Orgain,exact,Health & Household,Sports Nutrition Protein Powder Blends,15210524.8,198048732.29,185,305086,4.37,39.15,1.56,Amazon.com,99.7,-0.107,0.153,True,https://www.amazon.com/stores/Orgain/page/23B0D55F-4E42-4EB7-AAD7-235C4F96E4E3,"Orgain Organic Vegan 21g Protein Powder, Vanilla Bean, 2.03 lb | B00J074W7Q | $1,990,031; Orgain Organic Vegan Protein Powder, Creamy Chocolate Fudge, 2.03 lb | B00J074W94 | $1,334,562; Orgain Organic Vegan 21g Protein + Superfoods Powder, Vanilla Bean, 2.02lb | B07PXNNFGT | $869,569; Orgain Hydrolyzed Collagen Peptides Powder, Unflavored, 1lb | B07BL69CD2 | $810,966; Orgain Organic Kids Protein Nutritional Shake, Chocolate, 12 Count | B00BKL4KKY | $557,423","Amazon.com: 99.7%; Whole Foods Market: 0.1%; SwiftCreek: 0.1%; Carpe Diem Trading, Inc: 0.0%; G Dreamer: 0.0%",6,Amazon 1P,0.3,"Large brand: ~100% Amazon 1P, no 3P layer; hybrid angle",Amazon 1P 99.7%; monthly rev ~$15.2M; MoM -10.7%,Orgain's Amazon setup,"Hi {{first_name}},

Saw that Orgain exhibited at FNCE last year.

Looking at your listings, essentially all of Orgain's Amazon revenue, somewhere around $15M a month, runs through Amazon as the vendor. There is no 3P layer underneath it, so pricing, inventory and buying decisions sit entirely with Amazon.

We manage Amazon for brands end to end, and that includes hybrid setups where 1P stays where it works and specific products move to Seller Central for margin or control.

Would a 20 minute conversation on the hybrid option be worth your time?

Yoni
","very large brand (>$5M/mo), narrow ask used",2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,NOW Foods,YES on Amazon (SmartScout),NOW Foods,8888202.84,1390.0,4.57,766420.0,Blended Vitamin & Mineral Supplements,,NOW Foods,,Yes,exact,"Now Foods: Gluten Digest ($840, 1 product); NOW Foods Food Products (0)",,,Not needed,,,,,SmartScout,NOW Foods,exact,Health & Household,Blended Vitamin & Mineral Supplements,8767706.94,122925053.49,1394,790374,4.57,41.46,3.68,,60.6,0.009,0.171,True,https://www.amazon.com/stores/NOW/page/7C89AA39-7209-4289-AA91-6D186B43F3C6,"NOW Supplements, Psyllium Husk Caps 500mg, 200 Veg Caps | B005P0XUAM | $500,500; NOW Supplements, Psyllium Husk Caps 500mg, 500 Veg Caps | B0013OW2KS | $323,329; NOW Supplements, NAC 600 mg with Selenium, 250 Veg Capsules | B0013OUQ3S | $318,743; Now Foods Magnesium Glycinate, 240 Tablets | B0CB984SHQ | $211,964; NOW Foods Supplements, Glycine 1,000 mg, 100 Veg Capsules | B002J0RHTQ | $194,774",Amazon.com: 60.6%; Highland Health Foods: 11.4%; Green Valley Health Market LLC: 10.3%; Nutri Catalog: 7.1%; Vitamins4Beauty: 1.5%,10,Mixed,34.9,"Large brand: third-party resellers ~39% of Amazon revenue (Highland Health Foods, Green Valley Health Market, Nutri Catalog)",Amazon 1P 60.6%; Highland Health Foods 11.4% + Green Valley 10.3% = ~$1.87M/mo; reseller share ~39%; monthly rev ~$8.8M,NOW Foods third-party sellers on Amazon,"Hi {{first_name}},

Saw that NOW Foods exhibited at FNCE last year.

From what we can see, roughly 40% of NOW's Amazon revenue is going through third-party sellers rather than Amazon or NOW directly. Highland Health Foods and Green Valley Health Market alone look like about $1.9M a month combined, each on a large chunk of your catalog.

At that size, that is a meaningful piece of pricing, content and Buy Box you don't control.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Open to a 20 minute look at the reseller picture specifically?

Yoni
","very large brand (>$5M/mo), narrow ask used",2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,OWYN,YES on Amazon (SmartScout),OWYN Only What You Need,2852429.14,74.0,4.18,23413.0,Protein Drinks,,OWYN,,Yes,exact,,,,Not needed,,,,,SmartScout,OWYN Only What You Need,exact,Health & Household,Protein Drinks,2852429.14,37102670.92,74,23413,4.18,62.57,2.01,Only What You Need,90.1,-0.153,-0.065,False,,"OWYN 32g Chocolate Flavored Protein Shake, 12 Ct | B08B2J4DKZ | $359,474; OWYN Dark Chocolate Flavored 20g Protein Shake, 12 Ct | B0764GPB51 | $344,480; OWYN 32g Pro Elite Vanilla Flavored Protein Shake, 12 Ct | B08B7B3CF8 | $254,205; OWYN Chocolate Flavored 30g Protein Powder, 2.96 LB | B0CV87Q4VJ | $198,541; OWYN Vanilla Flavored 30g Protein Powder, 2.96 LB | B0CV8N9HWF | $194,866",Amazon.com: 90.1%; Alegacy: 2.9%; East Coast Fulfillment VA: 1.4%; Top shelf Goods: 1.3%; lu lu auto shop: 0.9%,10,Amazon 1P,8.9,Amazon 1P ~90% with negative 12-month trend and no storefront flagged,Amazon 1P 90.1%; monthly rev ~$2.85M; 12M MoM growth -6.5%; Has Storefront false,OWYN's Amazon channel,"Hi {{first_name}},

Saw that OWYN exhibited at FNCE last year.

From what we can see, OWYN is doing somewhere around $2.8M a month on Amazon, with about 90% of it going through Amazon as the vendor. We also don't see a brand store attached to the listings, which is unusual at that volume, and the trailing 12 month trend looks slightly negative.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations, and we run 1P, 3P and hybrid setups depending on what the product needs.

Would it make sense to have a quick conversation?

Yoni
",,2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,Huel,YES on Amazon (SmartScout),Huel,2637907.45,76.0,3.89,5886.0,Sports Nutrition Protein Powder Blends,,Huel,,Yes,exact,,,,Not needed,,,,,SmartScout,Huel,exact,Health & Household,Sports Nutrition Protein Powder Blends,2638034.5,19066089.45,76,5169,3.89,54.66,1.21,,0,0.143,0.703,True,https://www.amazon.com/stores/Huel/page/B0885F23-B036-4EEA-8724-D20A8C60E234,"Huel Black Edition | Chocolate 40g Vegan Protein Powder | B0BF5STD3J | $295,511; Huel Black Edition Ready-to-Drink | Meal Replacement Protein Shake | B0FVYFSHQN | $194,170; Huel Black Edition | Vanilla | 40g Vegan Protein Powder | B085W7MZHR | $184,049; Huel Black Edition | Chocolate Peanut Butter | 40g Vegan Protein Powder | B0G62ZNV71 | $180,870; Huel Black Edition Ready-to-Drink | Meal Replacement Protein Shake | B0D2DXRXHR | $134,896",Huel Inc: 99.3%; PRIME PHARMA: 0.2%; Moon Merch LLC: 0.2%; Smart Selections Co.: 0.1%; NexxtDay: 0.1%,9,Brand direct,0.7,Strong growing brand direct; weak review base and sub-4 rating for the volume,"Brand direct (Huel Inc) 99.3%; monthly rev ~$2.64M; 12M MoM +70%; 5,169 reviews across 76 products; avg rating 3.89",Huel reviews and ratings on Amazon,"Hi {{first_name}},

Saw that Huel exhibited at FNCE last year.

From what we can see, Huel is doing roughly $2.6M a month on Amazon, all sold direct, and the trailing 12 month trend is strongly up. The one thing that stands out is the review side: about 5,000 reviews across the whole catalog and an average rating under 4 stars, which is low for that volume and will cap conversion as ad spend grows.

We help brands build and grow their Amazon business, managing everything from strategy and setup through content, advertising, inventory and day-to-day operations.

Open to a short call on the review and content side?

Yoni
",,2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,OLIPOP,YES on Amazon (SmartScout),Olipop,2448854.4,113.0,4.39,16874.0,Soda Soft Drinks,,OLIPOP,,Yes,exact,,,,Not needed,,,,,SmartScout,Olipop,exact,Grocery & Gourmet Food,Soda Soft Drinks,2441591.9,34430449.29,113,16875,4.39,20.48,1.84,WishingUWell,84.3,-0.238,0.892,True,https://www.amazon.com/stores/OLIPOP/page/13DF7D6C-D88B-4C36-AC1E-B8599E9EEB60,"OLIPOP 6g Fiber Prebiotic Soda, Vintage Cola, 12 Pack | B0DJN5B63J | $183,249; OLIPOP Prebiotic Soda, Favorites Variety, 12 Pack | B0DWH3NDP5 | $179,317; OLIPOP Prebiotic Soda, Crisp Apple, 12 Pack | B0FD16JTPQ | $168,732; OLIPOP Prebiotic Soda, Cream Soda, 12 Pack | B0DJN77TCS | $131,318; OLIPOP Prebiotic Soda, Classic Grape, 12 Pack | B0DJN7B6HC | $126,855",Amazon.com: 84.3%; OLIPOP: 10.7%; Whole Foods Market: 2.4%; Spray and Pray LLC: 1.1%; EWill: 0.5%,10,Amazon 1P,4.8,Amazon 1P ~84% with brand's own 3P account at ~11%; hybrid split angle,Amazon 1P 84.3%; OLIPOP seller 10.7%; monthly rev ~$2.44M,OLIPOP's 1P and 3P split,"Hi {{first_name}},

Saw that OLIPOP exhibited at FNCE last year.

Looking at your listings, OLIPOP is doing roughly $2.4M a month on Amazon, and about 85% of that is Amazon selling as the vendor. Your own seller account is on there too, but only at around 10% of the volume, so the pricing and inventory decisions on the core 12 packs still sit with Amazon.

We manage Amazon for brands end to end, including hybrid 1P/3P setups at the product level, so a brand keeps vendor where it works and takes control where it doesn't.

Would a 20 minute conversation on the hybrid split be worth your time?

Yoni
",,2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,McGraw Hill,YES on Amazon (SmartScout),McGraw-Hill Education,2125950.0,4649.0,4.48,614954.0,Pathology Clinical Chemistry,,McGraw Hill,,Yes,close,"McGraw Hill-Ascent and Blackstone Publishing ($674.56); McGraw Hill Irwin ($199.08); McGraw-Hill Education TAB ($2,326.93)",,matched via retry 'McGraw-Hill',Not needed,,,,,SmartScout,McGraw-Hill Education,exact,Books,Pathology Clinical Chemistry,2122801.66,6901700.97,4621,612109,4.49,76.6,9.4,,21.2,0.246,-0.98,False,,"First Aid for the USMLE Step 1 2026 | 1264775784 | $17,703; Principles And Practice of Mechanical Ventilation, Third Edition | 0071736263 | $12,318; Atlas of Emergency Medicine, Fifth Edition | 1260134946 | $9,206; Tintinalli's Emergency Medicine, 9th Edition | 1260019934 | $8,204; Goldfrank's Toxicologic Emergencies, Eleventh Edition | 1259859614 | $8,008",Amazon.com: 21.2%; McGrawHill: 7.2%; ColumbusTextbooks: 6.7%; Tome Dealers: 4.5%; bookhunter188: 3.6%,10,Mixed,24.0,"Publisher: ~70% of Amazon revenue via textbook resellers, Amazon 21%, own account 7%","Amazon 21.2%; McGrawHill seller 7.2%; reseller share ~72%; monthly rev ~$2.12M; 4,621 products",McGraw Hill titles on Amazon,"Hi {{first_name}},

Saw that McGraw Hill exhibited at FNCE last year.

From what we can see, McGraw Hill titles do somewhere around $2M a month on Amazon, but only about a fifth of that goes through Amazon directly and under 10% through your own seller account. The rest, roughly 70%, is textbook resellers like ColumbusTextbooks and Tome Dealers.

Some of that is the used book market and unavoidable. But the new copy Buy Box, pricing and listing content on the top titles is something a publisher can take back.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Open to a short call on it?

Yoni
","education publisher, weaker fit for consumer brand pitch; reseller share includes used-book sellers",2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,Perelel,YES on Amazon (SmartScout),Perelel,1838346.66,24.0,4.25,2233.0,Prenatal Vitamins,https://www.amazon.com/stores/Perelel/page/CC2F5569-8B43-4FF7-A1D7-2001CA697B27,Perelel,,Yes,exact,,Yes,Amazon storefront found,Not needed,,,,,SmartScout,Perelel,exact,Health & Household,Prenatal Vitamins,1838346.66,14171589.92,24,2233,4.25,54.44,0.88,,0,0.045,4.485,True,https://www.amazon.com/stores/Perelel/page/CC2F5569-8B43-4FF7-A1D7-2001CA697B27,"Perelel Conception Fertility Prenatal Vitamins | B0CPKSZJGM | $358,083; Perelel 2nd Trimester Prenatal Vitamins | B0CSGXY5V5 | $237,567; Perelel 1st Trimester Prenatal Vitamins | B0CSH5PMHQ | $236,215; Perelel Mom Multi Postnatal Vitamins | B0CPL9CTT8 | $230,045; Perelel 3rd Trimester Prenatal Vitamins | B0CSGZLNY4 | $176,926",Perelel Health: 100%,1,Brand direct,0,Strong growing brand direct; thin review base for the volume,"Brand direct (Perelel Health) 100%; monthly rev ~$1.84M; 12M MoM +449%; 2,233 reviews on 24 products",Perelel's next stage on Amazon,"Hi {{first_name}},

Saw that Perelel exhibited at FNCE last year.

From what we can see, Perelel is doing roughly $1.8M a month on Amazon, all sold direct through your own account, and growth over the last year has been steep. What stands out is that the whole catalog sits on about 2,000 reviews, which is thin for that volume and makes every listing more dependent on ad spend than it needs to be.

We help brands build and grow their Amazon business, managing everything from strategy and setup through content, advertising, inventory and day-to-day operations.

Is it worth a short call on where the channel goes from here?

Yoni
",,2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,Microbiome Labs,YES on Amazon (SmartScout),Microbiome Labs,1836680.8,34.0,4.54,6959.0,Probiotic Nutritional Supplements,,Microbiome Labs,,Yes,exact,,,,Not needed,,,,,SmartScout,Microbiome Labs,exact,Health & Household,Probiotic Nutritional Supplements,1836680.8,26851693.84,34,6959,4.54,68,1.5,FortressBrand,0,-0.085,0.457,True,https://www.amazon.com/stores/MicrobiomeLabs/page/7D152897-8F9E-4787-A2FE-3BE9D1940825,"Microbiome Labs MegaSporeBiotic Daily Probiotic, 60 Ct | B07TJ4TH8Q | $611,752; Microbiome Labs Mega SporeBiotic Daily Probiotic, 180 Ct | B08YP9TKVR | $340,779; Microbiome Labs Mega IgG2000 Capsules, 120 Capsules | B0871XRYQK | $118,313; Microbiome Labs Mega IgG2000 Gut Health Powder, 2.1 Ounces | B09Z143WS7 | $107,044; Microbiome Labs HU58, Bacillus Subtilis, 60 Ct | B087N2NPM9 | $84,185",Front Row Group: 90.3%; Vital Supplements Supplies: 4.0%; upup365: 3.4%; Supply Distributor: 2.3%,4,Third-party resellers,100.0,Distributor (Front Row Group) sells ~90%; brand not selling direct; distributor-model angle,Front Row Group 90.3%; brand direct 0%; monthly rev ~$1.84M; 12M MoM +46%,Microbiome Labs distributor setup on Amazon,"Hi {{first_name}},

Saw that Microbiome Labs exhibited at FNCE last year.

From what we can see, Microbiome Labs does roughly $1.8M a month on Amazon, and about 90% of it is sold by Front Row Group rather than by the brand or Amazon. That means the listings, pricing and ad spend are most likely running through them, not you.

We work with brands either as the exclusive Amazon distributor or as the team running the brand's own account, covering content, advertising, inventory and operations either way.

Worth comparing what that looks like against the current setup?

Yoni
","Front Row Group is a known Amazon distributor/agency, treated as third party per rules",2026-09-25T14:36:48
1 - Confirmed on Amazon,FNCE 2025,"Kate Farms, Inc.",YES on Amazon (SmartScout),Kate Farms,1471376.91,67.0,4.31,5886.0,Meal Replacement Drinks,,Kate Farms,,Yes,exact,,,,Not needed,,,,,SmartScout,Kate Farms,exact,Grocery & Gourmet Food,Meal Replacement Drinks,1471376.91,16952788.59,67,5886,4.31,58.25,1.45,Kate Farms,95.3,-0.031,0.751,True,https://www.amazon.com/stores/KateFarms/page/CACAA8EF-B651-4525-A60D-0B0F21A134AF,"KATE FARMS Organic High Protein Chocolate Shake, 25g Protein, 12 Pack | B0F712555N | $164,949; KATE FARMS Organic Plant Based Pediatric 1.2 Sole Source Vanilla, Pack of 12 | B07DVZZMRK | $119,579; KATE FARMS Organic 1.4 High Calorie Shake, Chocolate, 12 Pack | B0BCXBPXDS | $78,249; KATE FARMS Organic 1.4 High Calorie Shake, Vanilla, 12 Pack | B08F82M84H | $78,124; KATE FARMS Organic Nutrition Shake, Chocolate, 16g Protein, 12 Pack | B08FNSZP6X | $61,429",Amazon.com: 95.3%; 3R ENTERPRISE: 2.2%; Kate Farms: 1.2%; Food Deals Supply: 0.7%; Amazon Resale: 0.2%,6,Amazon 1P,3.3,"Amazon 1P ~95%, brand's own account ~1%; hybrid angle",Amazon 1P 95.3%; Kate Farms seller 1.2%; monthly rev ~$1.47M; 12M MoM +75%,Kate Farms 1P exposure on Amazon,"Hi {{first_name}},

Saw that Kate Farms exhibited at FNCE last year.

Looking at your listings, Kate Farms is doing about $1.5M a month on Amazon and roughly 95% of it runs through Amazon as the vendor. Your own seller account is there but only on a handful of offers, so there is no real 3P layer if Amazon cuts a PO or shifts pricing on the shakes.

We manage Amazon for brands end to end, including hybrid 1P/3P setups where the vendor relationship stays and specific products move to Seller Central for control.

Would a 20 minute conversation on the hybrid option be worth your time?

Yoni
",,2026-09-25T14:36:48
